group,amputation,angina,blindness,chf,death,dialysis,egfr_30,egfr_60,hypoglycemia_any,hypoglycemia_medical,intervention,laser_retina,macroalbuminuria,mi,microalbuminuria,neurop,person_years,revasc,stroke,ulcer
intervention--0092,210,1561,3079,1530,10000,594,1075,3832,1751,3958,1,2667,3419,2006,6020,9404,212968,3451,1267,3241
intervention--0093,169,1548,2996,1461,10000,576,962,3814,1623,3785,1,2419,3005,1879,5805,9427,220504,3207,1092,3278
intervention--0094,238,1619,3124,1642,10000,628,1016,3763,1843,4115,1,2792,3476,2150,6157,9459,210560,3841,1275,3400
intervention--0095,147,1533,3014,1378,10000,571,936,3771,1643,3698,1,2440,2921,1835,5796,9385,219924,3228,1083,3061
intervention--0096,207,1582,2961,1544,10000,570,954,3759,1731,3919,1,2612,3245,2052,6052,9449,213540,3486,1233,3372
intervention--0097,189,1554,2998,1489,10000,572,961,3840,1756,3907,1,2578,3091,1968,6028,9451,217944,3370,1107,3337
intervention--0098,167,1475,2918,1379,10000,503,1010,3715,1698,3743,1,2355,2858,1834,5751,9409,220353,3021,1105,3364
intervention--0099,147,1523,3006,1394,10000,538,1000,3790,1594,3698,1,2474,2891,1833,5726,9425,220144,3269,1062,3198
intervention--0100,167,1549,3046,1495,10000,596,967,3818,1729,3969,1,2666,3385,1945,5980,9450,214209,3461,1251,3387
non-intervention--0001,265,1746,3128,1738,10000,682,1088,3905,1898,4313,0,2894,3935,2270,6338,9410,205195,4023,1356,3469
non-intervention--0002,283,1705,3081,1673,10000,621,1073,3796,1848,4350,0,2877,3926,2314,6403,9411,204395,4024,1421,3519
non-intervention--0003,275,1770,3111,1714,10000,673,1064,3899,1794,4418,0,2928,4013,2267,6282,9392,204839,3926,1431,3486
non-intervention--0004,291,1688,3082,1662,10000,634,1026,3859,1795,4338,0,2912,3860,2264,6364,9428,205410,3874,1463,3534
non-intervention--0005,337,1682,3119,1669,10000,637,1026,3842,1871,4468,0,2967,3931,2284,6434,9405,203829,3897,1393,3645
non-intervention--0006,292,1766,3181,1688,10000,670,1103,3912,1831,4530,0,2873,3910,2333,6283,9418,206533,4042,1383,3569
non-intervention--0007,285,1758,3106,1747,10000,661,1145,3889,1790,4473,0,2897,4006,2215,6365,9417,204641,4030,1401,3561
non-intervention--0008,277,1749,3117,1712,10000,665,1073,3921,1774,4413,0,2940,3951,2327,6341,9396,202844,4097,1410,3632
non-intervention--0009,288,1695,3143,1647,10000,686,1024,3874,1782,4395,0,2866,3939,2252,6313,9301,203400,3928,1437,3372
non-intervention--0010,278,1702,3082,1786,10000,657,1053,3876,1780,4472,0,2852,3938,2238,6352,9420,204827,3891,1400,3638
non-intervention--0011,274,1666,3138,1691,10000,681,1062,3885,1707,4235,0,2905,3934,2207,6227,9402,202938,3878,1381,3510
non-intervention--0012,303,1728,3103,1723,10000,634,1063,3824,1854,4437,0,2928,3918,2258,6315,9396,202643,3967,1383,3575
non-intervention--0013,309,1691,3218,1743,10000,656,1073,3920,1842,4440,0,2895,3905,2268,6342,9441,203961,3990,1459,3607
non-intervention--0014,275,1739,3181,1727,10000,675,1044,3817,1848,4334,0,2845,3975,2278,6333,9384,203897,4036,1423,3543
non-intervention--0015,272,1748,3162,1730,10000,672,1088,3861,1824,4378,0,2961,3970,2312,6430,9430,205396,3897,1389,3527
non-intervention--0016,276,1749,3060,1724,10000,644,1066,3843,1858,4385,0,2883,4030,2199,6319,9376,204238,3979,1447,3413
non-intervention--0017,287,1691,3120,1711,10000,688,1116,3886,1780,4342,0,2943,3947,2157,6267,9386,203965,3848,1420,3620
