group,amputation,angina,blindness,chf,death,dialysis,egfr_30,egfr_60,hypoglycemia_any,hypoglycemia_medical,intervention,laser_retina,macroalbuminuria,mi,microalbuminuria,neurop,person_years,revasc,stroke,ulcer
non-intervention--0014,275,1739,3181,1727,10000,675,1044,3817,1848,4334,0,2845,3975,2278,6333,9384,203897,4036,1423,3543
non-intervention--0015,272,1748,3162,1730,10000,672,1088,3861,1824,4378,0,2961,3970,2312,6430,9430,205396,3897,1389,3527
non-intervention--0016,276,1749,3060,1724,10000,644,1066,3843,1858,4385,0,2883,4030,2199,6319,9376,204238,3979,1447,3413
non-intervention--0017,287,1691,3120,1711,10000,688,1116,3886,1780,4342,0,2943,3947,2157,6267,9386,203965,3848,1420,3620
non-intervention--0018,272,1746,3128,1793,10000,697,1091,3883,1800,4370,0,2955,3969,2283,6326,9435,203745,3858,1381,3492
non-intervention--0019,300,1669,3109,1689,10000,640,1101,3903,1891,4517,0,2969,3961,2279,6354,9396,205540,3885,1408,3520
non-intervention--0020,291,1736,3157,1684,10000,637,1098,3931,1700,4413,0,2838,3927,2137,6385,9404,204627,3941,1373,3501
non-intervention--0021,258,1724,3097,1670,10000,721,1060,3812,1790,4374,0,2842,3917,2245,6266,9390,205375,4074,1408,3503
non-intervention--0022,299,1710,3077,1760,10000,662,1091,3826,1785,4366,0,2990,3908,2185,6307,9395,203117,4078,1431,3511
non-intervention--0023,294,1758,3078,1755,10000,660,1100,3851,1736,4334,0,2973,4033,2328,6319,9410,204840,4020,1387,3632
non-intervention--0024,287,1673,3163,1686,10000,633,1127,3901,1814,4290,0,2842,3907,2290,6347,9376,204662,3986,1445,3524
non-intervention--0025,275,1733,3142,1711,10000,614,1035,3974,1896,4541,0,2823,3994,2257,6280,9439,204230,4054,1464,3664
non-intervention--0026,291,1732,3133,1695,10000,668,1058,3844,1785,4345,0,2904,3938,2193,6330,9419,205477,4086,1405,3568
non-intervention--0027,299,1784,3054,1771,10000,650,1063,3892,1836,4336,0,2887,3964,2266,6280,9393,205009,4118,1353,3554
non-intervention--0028,264,1691,3089,1653,10000,674,1021,3896,1786,4609,0,2889,3951,2156,6327,9416,204959,3787,1433,3494
non-intervention--0029,312,1723,3086,1701,10000,649,1010,3838,1845,4485,0,2934,4013,2269,6354,9424,202741,3968,1428,3586
non-intervention--0030,288,1681,3201,1753,10000,674,1065,3949,1862,4436,0,2882,3960,2212,6226,9411,206575,3934,1450,3609
non-intervention--0031,307,1740,3156,1733,10000,655,1052,3924,1795,4371,0,2896,3854,2249,6304,9400,204154,4097,1465,3599
non-intervention--0032,272,1760,3206,1676,10000,638,1055,3860,1793,4379,0,2904,3980,2263,6291,9376,202933,3978,1409,3581
non-intervention--0033,312,1762,3136,1671,10000,612,1095,3887,1816,4492,0,2910,3900,2288,6247,9404,204058,4012,1338,3583
non-intervention--0034,273,1688,3014,1767,10000,656,1060,3913,1722,4362,0,2861,3886,2383,6301,9407,203017,4015,1414,3451
non-intervention--0035,266,1687,3139,1691,10000,667,1073,3906,1894,4460,0,2914,4018,2240,6342,9390,206099,4003,1452,3625
non-intervention--0036,268,1711,3166,1664,10000,681,1063,3890,1815,4391,0,2891,3933,2208,6372,9390,204161,3882,1365,3568
non-intervention--0037,292,1743,3131,1705,10000,657,1064,3955,1855,4446,0,2869,3847,2214,6281,9367,204494,3876,1355,3613
non-intervention--0038,295,1693,3103,1697,10000,641,1060,3901,1736,4307,0,2940,3896,2301,6333,9396,204109,3975,1432,3504
non-intervention--0039,317,1688,3095,1680,10000,721,1054,3857,1741,4464,0,2969,4023,2244,6279,9412,205595,4018,1492,3491
non-intervention--0040,284,1722,3172,1776,10000,646,1065,3913,1846,4398,0,2946,3961,2297,6311,9430,205820,4087,1449,3609
non-intervention--0041,288,1775,3122,1683,10000,670,1060,3901,1844,4277,0,2996,3900,2314,6335,9388,205923,3979,1424,3519
non-intervention--0042,291,1767,3153,1741,10000,676,1088,3886,1775,4435,0,2942,3892,2256,6402,9441,205028,4000,1437,3558
non-intervention--0043,277,1805,3161,1677,10000,637,1029,3930,1804,4515,0,2945,3920,2265,6324,9423,204747,4002,1440,3625
non-intervention--0044,284,1738,3057,1680,10000,642,1085,3878,1819,4368,0,2912,3932,2202,6372,9406,203648,3979,1410,3520
non-intervention--0045,313,1655,3152,1710,10000,645,1030,3896,1817,4438,0,2944,3974,2244,6285,9364,204200,3919,1365,3525
non-intervention--0046,264,1693,3153,1660,10000,597,1062,3859,1807,4417,0,2922,3851,2307,6316,9380,203279,3982,1406,3603
non-intervention--0047,275,1711,3124,1749,10000,677,1077,3848,1803,4289,0,2965,3951,2224,6293,9357,203068,3915,1443,3439
non-intervention--0048,255,1702,3115,1695,10000,681,1063,3922,1833,4307,0,2887,4032,2274,6328,9443,203727,3894,1443,3484
non-intervention--0049,288,1775,3122,1683,10000,670,1060,3901,1844,4277,0,2996,3900,2314,6335,9388,205923,3979,1424,3519
non-intervention--0050,276,1688,3147,1754,10000,663,1043,3929,1958,4486,0,2911,3971,2265,6300,9438,204826,3999,1381,3608
non-intervention--0051,308,1715,3210,1752,10000,647,1095,3863,1762,4578,0,2961,4007,2295,6328,9481,205243,4067,1330,3615
non-intervention--0052,280,1744,3119,1738,10000,672,1053,3900,1793,4318,0,2919,3962,2240,6287,9418,204668,3952,1411,3560
non-intervention--0053,248,1648,3096,1674,10000,644,1039,3920,1769,4504,0,2866,3904,2278,6288,9370,205793,3814,1368,3624
non-intervention--0054,290,1666,3181,1709,10000,612,1014,3975,1839,4489,0,2907,3785,2200,6408,9417,203026,3981,1470,3511
non-intervention--0055,303,1684,3129,1678,10000,672,1095,3907,1817,4264,0,2957,3949,2229,6351,9385,204478,4047,1377,3580
non-intervention--0056,296,1667,3164,1716,10000,670,1117,3973,1869,4427,0,3024,3964,2245,6263,9432,206619,4098,1401,3569
non-intervention--0057,286,1778,3141,1662,10000,687,1076,3742,1901,4307,0,2863,3876,2225,6313,9425,204536,3984,1476,3458
non-intervention--0058,261,1702,3071,1730,10000,667,1081,3957,1824,4361,0,2961,3991,2243,6391,9439,205818,3999,1518,3633
non-intervention--0059,291,1729,3129,1654,10000,655,1075,3888,1815,4329,0,2870,3915,2282,6232,9353,201866,4008,1377,3448
non-intervention--0060,273,1773,3178,1712,10000,637,1029,3933,1802,4502,0,2908,3896,2213,6338,9410,204883,3994,1391,3543
non-intervention--0061,310,1711,3138,1687,10000,673,1090,3881,1793,4359,0,2980,3879,2261,6319,9430,204419,3922,1383,3520
non-intervention--0062,260,1662,3052,1746,10000,693,1037,3931,1766,4384,0,2908,3994,2273,6284,9418,204409,3791,1413,3565
non-intervention--0063,278,1712,3113,1673,10000,637,1077,3850,1800,4444,0,2837,4025,2171,6242,9405,206925,3970,1375,3456
non-intervention--0064,287,1675,3199,1725,10000,616,1078,3953,1798,4469,0,2948,3977,2246,6298,9415,204905,3973,1415,3522
