run,Total cost non-intervention,Treatment costs - non-intervention,Complication costs - non-intervention,Intervention costs - non-intervention,QALY non-intervention,Total cost intervention,Treatment costs - intervention,Complication costs - intervention,Intervention costs - intervention,QALY intervention,Cost increment,QALY increment,ICER,ICER: mean inc Cost / mean inc QALY,Remaining LY non-intervention,Remaining LY intervention,LY increment
0016,149456.45,67114.0,82342.46,0.0,10.3653,152076.52,69141.29,77597.46,5337.77,10.7115,2620.06,0.3461,7570.24,,20.4238,21.2987,0.8749
0017,150302.9,67079.6,83223.29,0.0,10.3558,152589.57,69502.15,77719.1,5368.31,10.7714,2286.67,0.4157,5500.77,,20.3965,21.447,1.0505
0018,152481.9,67016.75,85465.15,0.0,10.3454,151484.99,69060.26,77094.62,5330.11,10.7021,-996.91,0.3567,-2794.81,,20.3745,21.252,0.8775
0019,150453.62,67403.98,83049.64,0.0,10.4095,151142.39,69786.55,75964.92,5390.93,10.819,688.77,0.4095,1681.98,,20.554,21.5409,0.9869
0020,147241.29,67199.73,80041.57,0.0,10.3777,149846.4,69354.17,75136.81,5355.42,10.7476,2605.11,0.37,7040.84,,20.4627,21.38,0.9173
0021,152635.2,67289.6,85345.6,0.0,10.3915,153420.63,69414.85,78645.92,5359.86,10.7597,785.43,0.3682,2133.16,,20.5375,21.3941,0.8566
0022,148693.79,66906.88,81786.91,0.0,10.33,149635.9,69312.75,74972.79,5350.36,10.7392,942.11,0.4092,2302.32,,20.3117,21.3384,1.0267
0023,151624.84,67338.78,84286.07,0.0,10.3932,150387.05,69152.1,75899.45,5335.5,10.7084,-1237.8,0.3152,-3927.03,,20.484,21.2573,0.7733
0024,151544.77,67178.55,84366.22,0.0,10.3714,151893.6,69571.31,76948.24,5374.05,10.7828,348.84,0.4114,847.93,,20.4662,21.4693,1.0031
0025,148584.0,67102.86,81481.14,0.0,10.3556,149806.69,69164.71,75301.96,5340.02,10.7112,1222.69,0.3556,3438.39,,20.423,21.3114,0.8884
0026,152279.73,67407.12,84872.61,0.0,10.4075,152209.68,69757.68,77062.35,5389.65,10.8124,-70.05,0.4049,-173.01,,20.5477,21.5454,0.9977
0027,148802.84,67247.43,81555.42,0.0,10.3855,146820.7,68958.33,72541.87,5320.49,10.6874,-1982.14,0.302,-6563.38,,20.5009,21.1988,0.6979
0028,148385.37,67313.4,81071.97,0.0,10.3992,149379.78,69510.24,74502.71,5366.84,10.7757,994.41,0.3765,2641.2,,20.4959,21.4165,0.9206
0029,147944.23,66797.23,81147.0,0.0,10.3121,149810.83,69204.28,75262.36,5344.2,10.7247,1866.6,0.4126,4523.99,,20.2741,21.3409,1.0668
0030,151379.97,67670.47,83709.5,0.0,10.4477,150978.59,69576.12,76028.22,5374.25,10.7821,-401.38,0.3343,-1200.66,,20.6575,21.4728,0.8153
0031,148090.09,67162.62,80927.47,0.0,10.3697,150500.84,69224.64,75930.63,5345.58,10.7247,2410.75,0.355,6790.85,,20.4154,21.3438,0.9284
0032,148221.03,66864.33,81356.7,0.0,10.3196,149754.99,69426.45,74966.12,5362.42,10.7595,1533.95,0.4399,3487.04,,20.2933,21.4214,1.1281
0033,147604.44,67097.41,80507.04,0.0,10.3619,149513.06,69300.62,74861.32,5351.13,10.7376,1908.62,0.3758,5078.82,,20.4058,21.3615,0.9557
0034,148746.61,66925.76,81820.85,0.0,10.3356,151081.33,69424.59,76295.55,5361.19,10.7619,2334.72,0.4263,5476.71,,20.3017,21.4058,1.1041
0035,149729.77,67546.67,82183.1,0.0,10.4315,150339.97,69601.28,75361.43,5377.26,10.7854,610.2,0.3539,1724.22,,20.6099,21.4936,0.8837
