group,step,hypoglycemia_medical,hypoglycemia_any,amputation,macroalbuminuria,microalbuminuria,blindness,ulcer,mi,stroke,chf,angina,dialysis,egfr_60,egfr_30,revasc,neurop,laser_retina,death,count_surviving
non-intervention--0038,34,3494,1887,333,3602,5138,2698,2669,1439,826,1574,1195,812,3307,1484,2663,8620,3077,8719,1281
non-intervention--0038,35,3514,1902,344,3634,5153,2723,2690,1449,834,1594,1197,826,3320,1515,2684,8625,3093,8859,1141
non-intervention--0038,36,3538,1916,351,3660,5166,2739,2712,1460,839,1611,1201,836,3331,1538,2701,8626,3105,8988,1012
non-intervention--0038,37,3555,1931,356,3677,5187,2750,2735,1464,847,1625,1204,842,3337,1552,2712,8627,3119,9111,889
non-intervention--0038,38,3573,1937,361,3700,5193,2761,2748,1470,850,1639,1209,857,3347,1562,2719,8628,3128,9246,754
non-intervention--0038,39,3588,1950,365,3716,5201,2771,2764,1476,855,1649,1210,872,3359,1575,2724,8628,3138,9352,648
non-intervention--0038,40,3606,1961,366,3729,5207,2777,2785,1483,863,1660,1213,879,3367,1584,2731,8628,3148,9450,550
non-intervention--0038,41,3612,1967,368,3746,5210,2789,2794,1487,867,1670,1216,893,3374,1591,2739,8631,3155,9536,464
non-intervention--0038,42,3619,1970,368,3755,5219,2793,2806,1489,870,1676,1217,901,3382,1598,2745,8633,3167,9612,388
non-intervention--0038,43,3627,1974,370,3767,5221,2798,2817,1493,872,1681,1217,906,3385,1606,2749,8634,3170,9673,327
non-intervention--0038,44,3632,1981,372,3770,5224,2802,2822,1493,872,1683,1217,909,3390,1611,2755,8634,3171,9723,277
non-intervention--0038,45,3639,1982,373,3776,5226,2807,2830,1495,874,1684,1218,911,3393,1617,2759,8634,3179,9758,242
non-intervention--0038,46,3641,1985,377,3783,5227,2813,2837,1498,875,1691,1218,912,3395,1620,2761,8634,3181,9797,203
non-intervention--0038,47,3643,1987,378,3785,5228,2815,2840,1498,876,1694,1218,915,3400,1623,2762,8634,3186,9843,157
non-intervention--0038,48,3645,1990,379,3786,5230,2818,2844,1500,879,1697,1220,918,3400,1627,2763,8634,3189,9869,131
non-intervention--0038,49,3645,1992,380,3791,5231,2820,2846,1500,882,1698,1220,923,3404,1634,2764,8635,3195,9893,107
non-intervention--0038,50,3650,1993,381,3794,5232,2821,2847,1500,882,1698,1221,924,3405,1635,2765,8635,3195,9917,83
non-intervention--0038,51,3650,1993,381,3795,5232,2821,2848,1500,882,1698,1223,927,3406,1635,2767,8635,3196,9931,69
non-intervention--0038,52,3651,1993,381,3797,5234,2822,2849,1501,882,1699,1223,932,3409,1636,2767,8635,3197,9944,56
non-intervention--0038,53,3653,1993,381,3797,5235,2822,2851,1501,882,1700,1224,932,3409,1636,2767,8635,3197,9957,43
non-intervention--0038,54,3654,1994,381,3799,5235,2822,2852,1501,883,1700,1224,932,3409,1637,2767,8635,3198,9964,36
non-intervention--0038,55,3654,1995,381,3799,5236,2822,2852,1501,883,1700,1224,934,3409,1637,2768,8635,3198,9968,32
non-intervention--0038,56,3654,1995,381,3799,5236,2822,2853,1501,883,1700,1224,934,3409,1639,2769,8635,3198,9977,23
non-intervention--0038,57,3656,1995,381,3800,5236,2822,2854,1501,883,1700,1224,934,3409,1640,2769,8635,3198,9981,19
non-intervention--0038,58,3657,1995,381,3802,5236,2822,2854,1501,883,1700,1224,935,3409,1640,2769,8635,3198,9988,12
non-intervention--0038,59,3657,1995,381,3802,5236,2822,2855,1501,883,1700,1224,935,3410,1640,2769,8635,3198,9992,8
non-intervention--0038,60,3657,1995,381,3802,5237,2822,2855,1501,883,1701,1224,935,3410,1640,2769,8635,3199,9996,4
non-intervention--0038,61,3657,1995,381,3802,5237,2822,2855,1501,883,1701,1224,935,3410,1640,2769,8635,3199,9998,2
non-intervention--0038,62,3657,1995,381,3802,5237,2822,2855,1501,883,1701,1224,936,3410,1640,2769,8635,3199,9998,2
non-intervention--0038,63,3657,1995,381,3802,5237,2822,2855,1501,883,1701,1224,936,3410,1640,2769,8635,3199,9999,1
non-intervention--0038,64,3657,1995,381,3802,5237,2822,2855,1501,883,1701,1224,937,3410,1640,2769,8635,3199,9999,1
non-intervention--0038,65,3657,1995,381,3802,5237,2822,2855,1501,883,1701,1224,937,3410,1640,2769,8635,3199,9999,1
non-intervention--0038,66,3657,1995,381,3802,5237,2822,2855,1501,883,1701,1224,937,3410,1640,2769,8635,3199,10000,0
non-intervention--0010,1,174,54,5,48,272,79,96,102,34,8,61,4,115,8,113,1094,190,268,9732
non-intervention--0010,2,337,103,10,117,554,183,190,181,64,24,120,11,297,25,262,2303,358,518,9482
non-intervention--0010,3,530,160,15,189,875,291,299,248,102,45,166,30,474,42,386,3373,501,756,9244
non-intervention--0010,4,704,239,23,277,1185,408,393,321,134,87,236,42,648,68,504,4259,646,1024,8976
non-intervention--0010,5,881,314,31,381,1480,518,508,411,173,127,292,50,838,101,642,4962,798,1317,8683
non-intervention--0010,6,1026,408,41,480,1774,653,603,483,208,166,352,70,1029,134,758,5579,921,1575,8425
non-intervention--0010,7,1173,489,46,603,2028,781,694,543,244,208,410,86,1194,169,878,6108,1063,1837,8163
non-intervention--0010,8,1339,549,57,746,2276,906,783,604,275,259,468,103,1369,208,982,6527,1183,2105,7895
non-intervention--0010,9,1489,618,68,889,2530,1016,890,661,300,317,511,117,1520,245,1113,6883,1304,2361,7639
non-intervention--0010,10,1631,691,77,1022,2773,1162,993,717,341,375,546,145,1665,287,1225,7186,1425,2630,7370
non-intervention--0010,11,1776,767,91,1180,2979,1281,1094,773,386,437,599,172,1786,338,1312,7426,1555,2925,7075
non-intervention--0010,12,1896,852,105,1333,3208,1390,1202,827,416,506,646,189,1903,384,1388,7625,1679,3191,6809
non-intervention--0010,13,2024,935,121,1483,3387,1504,1288,890,445,559,683,218,2010,449,1492,7783,1793,3481,6519
non-intervention--0010,14,2152,993,129,1636,3566,1615,1393,935,471,629,725,248,2126,501,1598,7941,1896,3784,6216
non-intervention--0010,15,2279,1077,146,1796,3717,1720,1493,987,487,697,766,267,2231,560,1683,8072,1988,4089,5911
non-intervention--0010,16,2394,1143,159,1934,3868,1801,1571,1037,518,756,802,300,2308,621,1765,8179,2098,4386,5614
non-intervention--0010,17,2528,1202,175,2077,4010,1907,1675,1074,542,830,840,333,2404,675,1838,8247,2197,4685,5315
non-intervention--0010,18,2635,1250,189,2222,4141,1996,1759,1113,569,878,876,360,2501,729,1915,8311,2287,4983,5017
non-intervention--0010,19,2733,1299,204,2376,4242,2064,1852,1163,597,941,906,388,2580,786,1985,8357,2387,5287,4713
non-intervention--0010,20,2819,1366,216,2512,4348,2133,1920,1206,626,993,934,418,2652,837,2041,8401,2463,5575,4425
non-intervention--0010,21,2917,1423,223,2637,4440,2202,2015,1238,640,1053,975,459,2727,882,2118,8436,2533,5905,4095
